settings,shots,performance
ground-truth, 0, 52.47
ground-truth, 4, 54.9
ground-truth, 8, 56.16
ground-truth, 16, 56.93
ground-truth, 32, 57.21
random strings, 0, 52.47
random strings, 4, 4.54
random strings, 8, 2.73
random strings, 16, 0.74
random strings, 32, 0.19
random words, 0, 52.47
random words, 4, 5.91
random words, 8,0
random words, 16,0
random words, 32,0
other labels, 0, 52.47
other labels, 4, 38.69
other labels, 8, 25.3
other labels, 16, 10.54
other labels, 32, 3.72
labels for same question, 0, 52.47
labels for same question, 4, 54.1
labels for same question, 8, 55.21
labels for same question, 16, 56.15
labels for same question, 32, 57.01
