settings,shots,performance
ground-truth, 0, 36.84
ground-truth, 4, 39.35
ground-truth, 8, 40.54
ground-truth, 16, 41.38
ground-truth, 32, 41.866
w/o labels, 0, 36.84
w/o labels, 4,0
w/o labels, 8,0
w/o labels, 16,0
w/o labels, 32,0
w/o questions and labels, 0, 36.84
w/o questions and labels, 4,0
w/o questions and labels, 8,0
w/o questions and labels, 16,0
w/o questions and labels, 32,0
only labels, 0, 36.84
only labels, 4, 36.13
only labels, 8, 36.40
only labels, 16, 36.57
only labels, 32, 37.18
